Name,Duration,Popularity,Key,TimeSig,Energy,Instrumentalness,Loudness,Tempo,LyricSimplicity,Sections,Singable
Porno Disaster,149920,35,6,4,0.844,0.8,-5.935,148.044,-132.59,7,0
This Too Shall Pass,258106,40,9,4,0.252,0,-13.47,127.957,-56.41,14,0
NO NAME,183826,74,2,4,0.789,0,-4.097,130.947,74.39,8,0
"10,000 Hours",171706,31,7,4,0.85,0,-5.42,87.694,-56.79,5,0
Hail Mary,240280,40,11,4,0.683,1.26E-05,-4.93,128.044,0,11,0
Came Up,161408,47,7,4,0.781,0,-2.998,90.359,-171.96,8,0
Giver - Sir Sly Remix,176086,31,5,4,0.477,0.00799,-8.265,93.746,0,7,0
Marijuana,260200,63,8,4,0.403,0.823,-9.809,140.978,-52.86,9,1
Mojo So Dope,210586,61,6,4,0.785,0.842,-8.224,180.036,-376.48,10,1
Ashin� Kusher,228493,53,0,4,0.638,0.000708,-5.773,92.997,-65.59,9,0
Erase Me - Main,192253,69,9,4,0.631,0,-5.612,186.066,90.26,10,0
Wild�n Cuz I�m Young,254000,49,11,4,0.55,0.125,-10.205,88.059,-441.1,7,0
Sleep Patterns,197263,0,8,3,0.186,0.0133,-19.998,107.787,71.04,11,0
Supposed 2 Be,177372,0,8,4,0.631,4.91E-06,-8.191,85.558,-63.49,8,0
Seven Chakras,240053,50,10,4,0.661,5.34E-06,-5.286,150.009,-38.69,6,0
I Love You Like An Alcoholic,215933,50,4,4,0.424,0.000148,-6.489,108.416,-157.24,10,1
Freakshow (feat. Varien) - Original Mix,230876,33,7,4,0.899,2.22E-05,-5.353,100.027,0,10,0
Alien,256971,55,0,3,0.486,0.0022,-9.976,168.135,-348.06,14,1
Wings on My Penis,75888,45,5,4,0.379,0,-10.52,92.912,96.42,6,0
We Have Candy,183575,50,4,4,0.579,0,-8.105,134.053,62.38,9,0
Wake up Free,222394,20,1,4,0.918,0.000201,-6.178,149.865,-58.28,12,0
Wwdd.,178860,0,5,4,0.834,0,-8.804,110.106,70.03,6,0
Destiny,301330,37,8,4,0.754,0,-9.171,127.755,18.16,12,0
Murder Mitten - Dotcom Remix,193400,33,4,4,0.944,0.027,-2.443,142.951,0,11,0
Carry On,215360,0,0,4,0.83,0.0127,-4.715,124.013,-160.96,9,0
Coastin' feat. K. Flay - Dirty,266413,0,8,4,0.695,0.00183,-7.391,91.971,0,12,0
1984,237906,8,8,4,0.566,0,-6.423,132.108,-5.03,10,0
Car Radio,267720,74,9,4,0.519,0,-7.355,129.972,-344,11,1
Semi-Automatic,253680,64,6,4,0.716,5.92E-06,-4.551,105.017,27.5,6,1
Screen,229120,66,0,4,0.714,0,-5.699,149.949,-72.49,8,1
The Run And Go,229000,66,10,4,0.318,0,-6.849,92.49,-174.49,10,0
Fake You Out,231320,64,6,4,0.608,1.25E-06,-6.176,115.012,46.41,11,0
"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",464026,20,4,4,0.045,0.642,-25.616,97.937,-132.59,23,0
"Faur�: Pell�as et M�lisande, Op. 80: III. Sicilienne (Arr. Robilliard)",241213,43,3,3,0.00809,0.856,-32.625,74.085,0,9,0
The 4th Branch,318506,41,6,4,0.87,0,-7.134,75.861,-717.52,10,0
LOVE. FEAT. ZACARI.,213400,81,10,4,0.585,0,-7.343,126.058,48.4,11,0
Safe,227884,5,0,4,0.379,0.00389,-8.157,104.044,56.02,9,0
Man's Red Fire (You Might Burn Yourself),310961,0,11,4,0.766,0,-6.551,110.207,0,12,0
Black Dahlia,329827,43,11,4,0.765,2.44E-05,-5.7,88.038,-1047.39,17,0
Blade: The Art of Ox,275337,34,1,4,0.786,2.92E-05,-4.574,81.587,-65.35,13,0
Piano Wire Number 12,287171,34,3,4,0.744,0.000506,-6.77,120.035,-17.17,11,0
Hazy,190032,31,8,4,0.659,0,-5.028,121.929,-445.5,10,0
Truce,142546,64,7,4,0.0231,0.0471,-14.407,120.322,34.95,6,0
Implicit Demand For Proof,291933,59,9,3,0.262,0.00486,-10.572,159.986,-0.93,16,1
Fall Away,182000,65,5,4,0.766,0.0127,-5.176,120.011,-306.1,9,1
The Pantaloon,213200,60,9,4,0.636,0,-6.693,99.996,-27.99,10,1
Addict With A Pen,286506,62,7,4,0.787,3.25E-05,-7.827,139.841,-32.39,14,1
Araceli,133826,15,5,4,0.547,0,-7.259,130.973,78.05,7,0
Yeah Yeah Yeah (V2),164671,32,4,4,0.78,0.0116,-6.701,149.018,61.98,10,1
Bust Your Knee Caps,185316,51,9,3,0.563,0,-5.97,118.565,-159.27,9,0
The Time Has Come,141463,17,4,4,0.48,0.000127,-11.533,123.02,106.91,9,1
Make The Grade,174142,37,7,4,0.453,0.00237,-12.746,84.542,55.21,11,0
Yellow Cat (Slash) Red Cat,316998,0,0,4,0.637,0,-5.268,77.023,-115.79,12,1
Trappin Urrrday,112216,18,1,4,0.805,0,-8.944,140.958,0,7,0
Here We Go,255271,27,4,4,0.728,0,-6.244,82.085,49.53,6,0
Nobody,317461,0,3,4,0.838,0,-5.708,85.016,-71.3,18,0
#HIPHOPISHIPHOP,370750,10,11,4,0.773,0,-4.27,178.91,67.25,13,0
Rotten Apple Seeds,214048,0,3,4,0.711,0,-5.588,85.238,-203.25,10,0
Nothing Special (feat. Patty Walters),184500,29,2,3,0.925,9.64E-06,-4.103,95.088,75.1,9,0
All the Old Things (feat. Christina Rotondo),257996,32,7,4,0.934,1.08E-05,-3.272,169.983,-69.95,12,0
First World Tragedy,300021,36,1,4,0.97,4.36E-05,-2.628,179.996,-281.07,12,0
Pit Warrior (feat. Dave Stephens),211058,33,2,4,0.958,0.0146,-2.891,170.024,23.44,9,0
Lambo (Pt. 2),111339,26,5,4,0.521,0,-11.169,154.814,53.04,6,0
Psycho,260000,34,1,4,0.632,2.81E-05,-8.461,119.998,29.7,6,0
These Days,239425,54,5,4,0.281,0,-8.506,134.553,-269.9,8,0
Guitar,222186,15,9,4,0.669,0,-6.666,133.103,-175.17,11,0
Neato,175058,39,10,4,0.895,0,-5.161,169.858,5.68,8,0
The Rendezvous (feat. Madi Diaz),217200,32,11,4,0.477,0.000282,-8.867,120.003,-133.22,8,1
Befehlskette,252506,32,0,4,0.783,0,-9.391,134.959,90.39,10,0
Problem,209463,27,8,4,0.746,3.51E-06,-5.864,99.387,64.55,8,0
The Heroine,287850,34,8,3,0.208,0.178,-8.546,110.273,14.31,12,0
C'mon Man You're Dead,199970,0,0,4,0.679,1.09E-06,-7.694,108.014,30.38,9,1
Automatic,358635,29,7,4,0.756,0,-7.77,119.789,46.85,13,0
Wake Up,157048,34,11,4,0.773,3.52E-06,-5.769,90.016,77.47,8,0
Fragments,377586,0,0,4,0.67,0.288,-6.667,175.003,-195.81,15,0
Ebb and Flow,303472,44,0,4,0.718,0,-6.493,153.102,75.95,12,0
Chainsaw Symphony,234396,37,3,4,0.759,7.93E-06,-6.544,92.974,-138.29,11,0
drugs,338333,69,4,4,0.444,0,-6.935,144.208,-5.29,13,0
Pet Cheetah,198360,72,7,4,0.684,0.000387,-7.052,110.049,-232.01,8,0
Big Business,250458,27,9,4,0.744,1.29E-05,-7.576,160.125,49.42,9,0
Woke Up in Pallet Town,110550,36,1,4,0.858,0,-5.088,130.399,-44.57,5,0
Exhib�s,199389,7,0,4,0.578,0,-8.724,119.058,0,9,0
What's a Devil to Do? - Live,295125,42,9,4,0.556,0,-10.004,101.192,60.58,11,1
Self Esteem,96826,39,0,4,0.839,0,-4.78,97.308,-41.87,5,0
Scripture,200204,62,4,4,0.606,3.92E-06,-10.982,91.686,-130.85,9,0
Too Many Dead,166955,46,0,4,0.659,0,-7.104,77.536,-414.03,10,0
All Like Whatever,163546,47,4,4,0.763,0,-3.755,77.543,43.33,9,0
Push Ups,176326,6,4,4,0.558,0.0242,-6.914,98.008,0,7,0
Drogas,136526,49,9,4,0.71,4.24E-05,-6.247,146.074,52.87,7,0
World Wide Web,227296,57,10,4,0.743,0,-5.859,103.034,31.97,15,0
EWU II,180832,25,4,4,0.649,1.91E-06,-7.885,174.213,20.26,10,0
I Love How You Love Me,206773,42,0,3,0.699,3.35E-06,-9.713,91.559,-17.17,10,1
Dope,133972,38,10,5,0.642,0,-8.526,160.052,14.85,4,0
Big K.R.I.T.,172194,46,1,4,0.805,0.00034,-6.716,139.073,-414.37,7,0
Bitter Raps,269124,38,0,4,0.673,3.31E-05,-6.341,130.032,42.42,7,0
Make Me Over,181643,0,6,5,0.745,0,-5.472,118.268,62.72,9,0
Further,234332,0,1,4,0.554,8.82E-06,-10.156,102.853,17.21,12,0
"Foreward, 1619",358543,12,4,4,0.67,0,-7.809,80.057,-10,13,0
Spanish Diego,183681,1,10,4,0.743,0,-7.309,99.984,29.94,6,1
Baby,276792,7,9,4,0.845,4.05E-06,-5.96,159.899,89.75,11,0
Ego Killed Romance (feat. Jamila Woods),240925,0,4,4,0.667,1.80E-05,-6.676,136.025,-338.92,10,0
Seize Power,187640,23,1,4,0.781,0,-6.794,162.187,-158.59,9,0
Please Don't Let Me,223522,44,6,4,0.809,4.41E-05,-6.802,84.999,-17.81,10,1
The Moon,143712,2,11,4,0.272,0.372,-17.392,83.483,51.62,6,0
Arose,274626,63,4,1,0.906,0,-6.118,140.684,-11.12,8,0
